sample_number,filename
0847,R-7-rep_S847_R1_001.fastq.gz
0847,R-7-rep_S847_R2_001.fastq.gz
0848,R-105-rep_S848_R1_001.fastq.gz
0848,R-105-rep_S848_R2_001.fastq.gz
0849,R-47_S849_R1_001.fastq.gz
0849,R-47_S849_R2_001.fastq.gz
0850,R-33_S850_R1_001.fastq.gz
0850,R-33_S850_R2_001.fastq.gz
0851,R-1-rep_S851_R1_001.fastq.gz
0851,R-1-rep_S851_R2_001.fastq.gz
0852,R-92_S852_R1_001.fastq.gz
0852,R-92_S852_R2_001.fastq.gz
0853,R-48_S853_R1_001.fastq.gz
0853,R-48_S853_R2_001.fastq.gz
0854,R-10_S854_R1_001.fastq.gz
0854,R-10_S854_R2_001.fastq.gz
0855,R-68_S855_R1_001.fastq.gz
0855,R-68_S855_R2_001.fastq.gz
0856,R-24_S856_R1_001.fastq.gz
0856,R-24_S856_R2_001.fastq.gz
0857,R-4-rep_S857_R1_001.fastq.gz
0857,R-4-rep_S857_R2_001.fastq.gz
0858,R-43_S858_R1_001.fastq.gz
0858,R-43_S858_R2_001.fastq.gz
0859,R-118_S859_R1_001.fastq.gz
0859,R-118_S859_R2_001.fastq.gz
0860,R-82_S860_R1_001.fastq.gz
0860,R-82_S860_R2_001.fastq.gz
0861,R-140_S861_R1_001.fastq.gz
0861,R-140_S861_R2_001.fastq.gz
0862,R-127b_S862_R1_001.fastq.gz
0862,R-127b_S862_R2_001.fastq.gz
0863,R-133_S863_R1_001.fastq.gz
0863,R-133_S863_R2_001.fastq.gz
0864,R-137b_S864_R1_001.fastq.gz
0864,R-137b_S864_R2_001.fastq.gz
0865,R-143_S865_R1_001.fastq.gz
0865,R-143_S865_R2_001.fastq.gz
0866,R-39_S866_R1_001.fastq.gz
0866,R-39_S866_R2_001.fastq.gz
0867,R-15_S867_R1_001.fastq.gz
0867,R-15_S867_R2_001.fastq.gz
0868,R-49_S868_R1_001.fastq.gz
0868,R-49_S868_R2_001.fastq.gz
0869,R-29_S869_R1_001.fastq.gz
0869,R-29_S869_R2_001.fastq.gz
0870,R-126b_S870_R1_001.fastq.gz
0870,R-126b_S870_R2_001.fastq.gz
0871,R-102_S871_R1_001.fastq.gz
0871,R-102_S871_R2_001.fastq.gz
0872,R-58_S872_R1_001.fastq.gz
0872,R-58_S872_R2_001.fastq.gz
0873,R-36_S873_R1_001.fastq.gz
0873,R-36_S873_R2_001.fastq.gz
0874,R-88_S874_R1_001.fastq.gz
0874,R-88_S874_R2_001.fastq.gz
0875,R-74_S875_R1_001.fastq.gz
0875,R-74_S875_R2_001.fastq.gz
0876,R-87_S876_R1_001.fastq.gz
0876,R-87_S876_R2_001.fastq.gz
0877,R-98_S877_R1_001.fastq.gz
0877,R-98_S877_R2_001.fastq.gz
0878,R-113_S878_R1_001.fastq.gz
0878,R-113_S878_R2_001.fastq.gz
0879,R-54_S879_R1_001.fastq.gz
0879,R-54_S879_R2_001.fastq.gz
0880,R-34_S880_R1_001.fastq.gz
0880,R-34_S880_R2_001.fastq.gz
0881,R-16_S881_R1_001.fastq.gz
0881,R-16_S881_R2_001.fastq.gz
0882,R-130_S882_R1_001.fastq.gz
0882,R-130_S882_R2_001.fastq.gz
0883,R-42_S883_R1_001.fastq.gz
0883,R-42_S883_R2_001.fastq.gz
0884,R-55_S884_R1_001.fastq.gz
0884,R-55_S884_R2_001.fastq.gz
0885,R-115_S885_R1_001.fastq.gz
0885,R-115_S885_R2_001.fastq.gz
0886,R-80-rep_S886_R1_001.fastq.gz
0886,R-80-rep_S886_R2_001.fastq.gz
0887,R-64_S887_R1_001.fastq.gz
0887,R-64_S887_R2_001.fastq.gz
0888,R109_S888_R1_001.fastq.gz
0888,R109_S888_R2_001.fastq.gz
